Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ihe.pharm.unicom.transactions.json	5646	-	0	0	0	0	0	0	3	103	0	0	0	0	0	0	0	2	0	0	60	50	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-Product-substitutes.json	2711	22	1	0	0	1	0	0	1	20	0	0	0	0	0	0	0	0	0	0	22	12	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-IHEPPLAdministrableProductDefinition.json	1199	13	0	0	1	0	0	152	0	125	0	0	2	0	0	0	0	1	0	0	238	2005	0	0	0	6	0	1
